Number,Name,Type 1,Type 2,Abilities,HP,Att,Def,Spa,Spd,Spe,Standard Deviation,Generation,Experience type,Experience to level 100,Final Evolution,Catch Rate,Legendary,Mega Evolution,Alolan Form,Galarian Form,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy,Height,Weight,BMI
11,Metapod,Bug,Bug,['Shed Skin'],50,20,55,25,25,30,13.359349618234496,1,Medium Fast,1000000,False,120,False,False,False,False,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.7,9.9,20.2
12,Butterfree,Bug,Flying,['Tinted Lens'],60,45,50,90,80,70,15.920810978785664,1,Medium Fast,1000000,True,45,False,False,False,False,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.1,32.0,26.4
13,Weedle,Bug,Poison,"['Run Away', 'Shield Dust']",40,35,30,20,20,50,10.70436048222094,1,Medium Fast,1000000,False,255,False,False,False,False,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0.3,3.2,35.6
14,Kakuna,Bug,Poison,['Shed Skin'],45,25,50,25,25,35,10.172129679778084,1,Medium Fast,1000000,False,120,False,False,False,False,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0.6,10.0,27.8
15,Beedrill,Bug,Poison,"['Sniper', 'Swarm']",65,90,40,45,80,75,18.12380264244296,1,Medium Fast,1000000,True,45,False,False,False,False,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.0,29.5,29.5
15,Mega Beedrill,Bug,Poison,['Adaptability'],65,150,40,15,80,145,50.22864388639879,6,Medium Fast,1000000,True,45,False,True,False,False,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.4,40.5,20.7
16,Pidgey,Normal,Flying,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",40,45,40,35,35,56,7.197607627229727,1,Medium Slow,1059860,False,255,False,False,False,False,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0.3,1.8,20.0
17,Pidgeotto,Normal,Flying,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",63,60,55,50,50,71,7.470311610338324,1,Medium Slow,1059860,False,120,False,False,False,False,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1.1,30.0,24.8
18,Pidgeot,Normal,Flying,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",83,80,75,70,70,101,10.605292179955356,1,Medium Slow,1059860,True,45,False,False,False,False,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1.5,39.5,17.6
18,Mega Pidgeot,Normal,Flying,['No Guard'],83,80,80,135,80,121,22.66237704507921,6,Medium Slow,1059860,True,45,False,True,False,False,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,2.2,50.5,10.4
19,Rattata,Normal,Normal,"['Guts', 'Hustle', 'Run Away']",30,56,35,25,35,72,16.46629554237652,1,Medium Fast,1000000,False,255,False,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.3,3.5,38.9
19,Alolan Rattata,Dark,Normal,"['Gluttony', 'Hustle', 'Thick Fat']",30,56,35,25,35,72,16.46629554237652,7,Medium Fast,1000000,False,255,False,False,True,False,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,0.3,3.8,42.2
20,Raticate,Normal,Normal,"['Guts', 'Hustle', 'Run Away']",55,81,60,50,70,97,16.15979235290135,1,Medium Fast,1000000,True,127,False,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7,18.5,37.8
20,Alolan Raticate,Dark,Normal,"['Gluttony', 'Hustle', 'Thick Fat']",75,71,70,40,80,77,13.334374959313074,7,Medium Fast,1000000,True,127,False,False,True,False,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,0.7,25.5,52.0
21,Spearow,Normal,Flying,"['Keen Eye', 'Sniper']",40,60,30,31,31,70,15.712698332523566,1,Medium Fast,1000000,False,255,False,False,False,False,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0.3,2.0,22.2
22,Fearow,Normal,Flying,"['Keen Eye', 'Sniper']",65,90,65,61,61,100,15.445243784270794,1,Medium Fast,1000000,True,90,False,False,False,False,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1.2,38.0,26.4
23,Ekans,Poison,Poison,"['Intimidate', 'Shed Skin', 'Unnerve']",35,60,44,40,54,55,8.925618559330589,1,Medium Fast,1000000,False,255,False,False,False,False,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,2.0,6.9,1.7
24,Arbok,Poison,Poison,"['Intimidate', 'Shed Skin', 'Unnerve']",60,95,69,65,79,80,11.55662388223981,1,Medium Fast,1000000,True,90,False,False,False,False,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,3.5,65.0,5.3
25,Pikachu,Electric,Electric,"['Lightning Rod', 'Static']",35,55,40,50,50,90,17.716909687891082,1,Medium Fast,1000000,False,190,False,False,False,False,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.4,6.0,37.5
26,Raichu,Electric,Electric,"['Lightning Rod', 'Static']",60,90,55,90,80,110,18.800856954464127,1,Medium Fast,1000000,True,75,False,False,False,False,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.8,30.0,46.9
26,Alolan Raichu,Electric,Psychic,['Surge Surfer'],60,85,50,95,85,110,20.292992769809867,7,Medium Fast,1000000,True,75,False,False,True,False,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,0.7,21.0,42.9
27,Sandshrew,Ground,Ground,"['Sand Rush', 'Sand Veil']",50,75,85,20,30,40,23.27373340628157,1,Medium Fast,1000000,False,255,False,False,False,False,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6,12.0,33.3
27,Alolan Sandshrew,Ice,Steel,"['Slush Rush', 'Snow Cloak']",50,75,90,10,35,40,26.29955639676584,7,Medium Fast,1000000,False,255,False,False,True,False,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.7,40.0,81.6
28,Sandslash,Ground,Ground,"['Sand Rush', 'Sand Veil']",75,100,110,45,55,65,23.27373340628157,1,Medium Fast,1000000,True,90,False,False,False,False,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,29.5,29.5
28,Alolan Sandslash,Ice,Steel,"['Slush Rush', 'Snow Cloak']",75,100,120,25,65,65,29.8607881119482,7,Medium Fast,1000000,True,90,False,False,True,False,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.2,55.0,38.2
29,Nidoran♀,Poison,Poison,"['Hustle', 'Poison Point', 'Rivalry']",55,47,52,40,40,41,5.983774357005413,1,Medium Slow,1059860,False,235,False,False,False,False,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.4,7.0,43.8
30,Nidorina,Poison,Poison,"['Hustle', 'Poison Point', 'Rivalry']",70,62,67,55,55,56,5.983774357005413,1,Medium Slow,1059860,False,120,False,False,False,False,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.8,20.0,31.3
31,Nidoqueen,Poison,Ground,"['Poison Point', 'Rivalry', 'Sheer Force']",90,92,87,75,85,76,6.517071598672383,1,Medium Slow,1059860,True,45,False,False,False,False,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.3,60.0,35.5
32,Nidoran♂,Poison,Poison,"['Hustle', 'Poison Point', 'Rivalry']",46,57,40,40,40,50,6.370504951205464,1,Medium Slow,1059860,False,235,False,False,False,False,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,9.0,36.0
33,Nidorino,Poison,Poison,"['Hustle', 'Poison Point', 'Rivalry']",61,72,57,55,55,65,6.121455890735652,1,Medium Slow,1059860,False,120,False,False,False,False,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.9,19.5,24.1
34,Nidoking,Poison,Ground,"['Poison Point', 'Rivalry', 'Sheer Force']",81,102,77,85,75,85,8.801830617673929,1,Medium Slow,1059860,True,45,False,False,False,False,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.4,62.0,31.6
35,Clefairy,Fairy,Fairy,"['Cute Charm', 'Friend Guard', 'Magic Guard']",70,45,48,60,65,35,12.184917817622823,1,Fast,800000,False,150,False,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0.6,7.5,20.8
36,Clefable,Fairy,Fairy,"['Cute Charm', 'Magic Guard', 'Unaware']",95,70,73,95,90,60,13.524668819112232,1,Fast,800000,True,25,False,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,1.3,40.0,23.7
37,Vulpix,Fire,Fire,"['Drought', 'Flash Fire']",38,41,40,50,65,65,11.363929289153855,1,Medium Fast,1000000,False,190,False,False,False,False,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0.6,9.9,27.5
37,Alolan Vulpix,Ice,Ice,"['Snow Cloak', 'Snow Warning']",38,41,40,50,65,65,11.363929289153855,7,Medium Fast,1000000,False,190,False,False,True,False,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.6,9.9,27.5
38,Ninetales,Fire,Fire,"['Drought', 'Flash Fire']",73,76,75,81,100,100,11.451588924201255,1,Medium Fast,1000000,True,75,False,False,False,False,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1.1,19.9,16.4
38,Alolan Ninetales,Ice,Fairy,"['Snow Cloak', 'Snow Warning']",73,67,75,81,100,109,15.170329228098147,7,Medium Fast,1000000,True,75,False,False,True,False,1.0,2.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,0.5,4.0,1.0,1.1,19.9,16.4
39,Jigglypuff,Normal,Fairy,"['Competitive', 'Cute Charm', 'Friend Guard']",115,45,20,45,25,20,33.040379335998345,1,Fast,800000,False,170,False,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,0.5,5.5,22.0
40,Wigglytuff,Normal,Fairy,"['Competitive', 'Cute Charm', 'Frisk']",140,70,45,85,50,45,33.509948771471834,1,Fast,800000,True,50,False,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,1.0,12.0,12.0
41,Zubat,Poison,Flying,"['Infiltrator', 'Inner Focus']",40,45,35,30,40,55,7.861650943380503,1,Medium Fast,1000000,False,255,False,False,False,False,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,0.8,7.5,11.7
42,Golbat,Poison,Flying,"['Infiltrator', 'Inner Focus']",75,80,70,65,75,90,7.861650943380503,1,Medium Fast,1000000,False,90,False,False,False,False,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,1.6,55.0,21.5
43,Oddish,Grass,Poison,"['Chlorophyll', 'Run Away']",45,50,55,75,65,30,14.337208778404378,1,Medium Slow,1059860,False,255,False,False,False,False,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,5.4,21.6
44,Gloom,Grass,Poison,"['Chlorophyll', 'Stench']",60,65,70,85,75,40,13.969212178533509,1,Medium Slow,1059860,False,120,False,False,False,False,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8,8.6,13.4
45,Vileplume,Grass,Poison,"['Chlorophyll', 'Effect Spore']",75,80,85,110,90,50,17.950549357115012,1,Medium Slow,1059860,True,45,False,False,False,False,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.2,18.6,12.9
46,Paras,Bug,Grass,"['Damp', 'Dry Skin', 'Effect Spore']",35,70,55,45,55,25,14.648663192705788,1,Medium Fast,1000000,False,190,False,False,False,False,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3,5.4,60.0
47,Parasect,Bug,Grass,"['Damp', 'Dry Skin', 'Effect Spore']",60,95,80,60,80,30,20.766559657295183,1,Medium Fast,1000000,True,75,False,False,False,False,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,29.5,29.5
48,Venonat,Bug,Poison,"['Run Away', 'Tinted Lens']",60,55,50,40,55,45,6.718548123582125,1,Medium Fast,1000000,False,190,False,False,False,False,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.0,30.0,30.0
49,Venomoth,Bug,Poison,"['Shield Dust', 'Tinted Lens', 'Wonder Skin']",70,65,60,90,75,90,11.547005383792516,1,Medium Fast,1000000,True,75,False,False,False,False,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.5,12.5,5.6
50,Diglett,Ground,Ground,"['Arena Trap', 'Sand Force', 'Sand Veil']",10,55,25,35,45,95,26.83540364684103,1,Medium Fast,1000000,False,255,False,False,False,False,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.2,0.8,20.0
50,Alolan Diglett,Ground,Steel,"['Sand Force', 'Sand Veil', 'Tangling Hair']",10,55,30,35,45,90,24.73470346609305,7,Medium Fast,1000000,False,255,False,False,True,False,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,0.2,1.0,25.0
51,Dugtrio,Ground,Ground,"['Arena Trap', 'Sand Force', 'Sand Veil']",35,100,50,50,70,120,30.05781466145239,1,Medium Fast,1000000,True,50,False,False,False,False,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.7,33.3,68.0
51,Alolan Dugtrio,Ground,Steel,"['Sand Force', 'Sand Veil', 'Tangling Hair']",35,100,60,50,70,110,26.523050771399248,7,Medium Fast,1000000,True,50,False,False,True,False,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,0.7,66.6,135.9
52,Meowth,Normal,Normal,"['Pickup', 'Technician', 'Unnerve']",40,45,35,40,40,90,18.856180831641268,1,Medium Fast,1000000,False,255,False,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.4,4.2,26.3
52,Alolan Meowth,Dark,Dark,"['Pickup', 'Rattled', 'Technician']",40,35,35,50,40,90,19.29306150465037,7,Medium Fast,1000000,False,255,False,False,True,False,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0.4,4.2,26.3
52,Galarian Meowth,Steel,Steel,"['Pickup', 'Tough Claws', 'Unnerve']",50,65,55,40,40,40,9.428090415820632,8,Medium Fast,1000000,False,255,False,False,False,True,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.4,7.5,46.9
53,Persian,Normal,Normal,"['Limber', 'Technician', 'Unnerve']",65,70,60,65,65,115,18.856180831641268,1,Medium Fast,1000000,True,90,False,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,32.0,32.0
53,Alolan Persian,Dark,Dark,"['Fur Coat', 'Rattled', 'Technician']",65,60,60,75,65,115,19.29306150465037,7,Medium Fast,1000000,True,90,False,False,True,False,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,1.1,33.0,27.3
54,Psyduck,Water,Water,"['Cloud Nine', 'Damp', 'Swift Swim']",50,52,48,65,50,55,5.647024782032472,1,Medium Fast,1000000,False,190,False,False,False,False,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.8,19.6,30.6
55,Golduck,Water,Water,"['Cloud Nine', 'Damp', 'Swift Swim']",80,82,78,95,80,85,5.647024782032472,1,Medium Fast,1000000,True,75,False,False,False,False,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.7,76.6,26.5
56,Mankey,Fighting,Fighting,"['Anger Point', 'Defiant', 'Vital Spirit']",40,80,35,35,45,70,17.658016750347574,1,Medium Fast,1000000,False,190,False,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0.5,28.0,112.0
57,Primeape,Fighting,Fighting,"['Anger Point', 'Defiant', 'Vital Spirit']",65,105,60,60,70,95,17.658016750347574,1,Medium Fast,1000000,True,75,False,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,1.0,32.0,32.0
58,Growlithe,Fire,Fire,"['Flash Fire', 'Intimidate', 'Justified']",55,70,45,70,50,60,9.428090415820634,1,Slow,1250000,False,190,False,False,False,False,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0.7,19.0,38.8
59,Arcanine,Fire,Fire,"['Flash Fire', 'Intimidate', 'Justified']",90,110,80,100,80,95,10.70436048222094,1,Slow,1250000,True,75,False,False,False,False,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1.9,155.0,42.9
60,Poliwag,Water,Water,"['Damp', 'Swift Swim', 'Water Absorb']",40,50,40,40,40,90,18.257418583505537,1,Medium Slow,1059860,False,255,False,False,False,False,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6,12.4,34.4
61,Poliwhirl,Water,Water,"['Damp', 'Swift Swim', 'Water Absorb']",65,65,65,50,50,90,13.359349618234498,1,Medium Slow,1059860,False,120,False,False,False,False,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,20.0,20.0
62,Poliwrath,Water,Fighting,"['Damp', 'Swift Swim', 'Water Absorb']",90,95,95,70,90,70,10.801234497346432,1,Medium Slow,1059860,True,45,False,False,False,False,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0,1.3,54.0,32.0
63,Abra,Psychic,Psychic,"['Inner Focus', 'Magic Guard', 'Synchronize']",25,20,15,105,55,90,35.079275299748645,1,Medium Slow,1059860,False,200,False,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.9,19.5,24.1
